step,loss_conf_fat,loss_pred_conf,loss_pred_mode,confidence_level,fatigue_level,predicted_confidence,mode_error
93,0.001655,0.000003,0.693327,0.9985,0.7518,0.9932,1
94,0.001064,0.000170,0.684264,0.9953,0.7048,0.9855,0
95,0.000608,0.000002,0.690169,0.9986,0.7446,0.9937,0
96,0.000556,0.000162,0.685453,0.9954,0.7105,0.9858,0
97,0.000219,0.000002,0.687328,0.9986,0.7363,0.9940,0
98,0.000172,0.000155,0.686213,0.9956,0.7173,0.9862,0
99,0.000020,0.000001,0.684871,0.9986,0.7283,0.9944,0
100,0.000012,0.000148,0.686669,0.9957,0.7248,0.9865,0
101,0.000016,0.000083,0.686813,0.9957,0.7276,0.9866,0
102,0.000012,0.000078,0.686913,0.9958,0.7293,0.9869,0
103,0.000010,0.000074,0.686790,0.9959,0.7299,0.9872,0
104,0.000008,0.000071,0.686467,0.9960,0.7299,0.9875,0
105,0.000008,0.000068,0.685976,0.9961,0.7295,0.9877,0
106,0.000007,0.000066,0.685343,0.9962,0.7289,0.9880,0
107,0.000007,0.000063,0.684588,0.9962,0.7281,0.9882,0
108,0.000007,0.000060,0.683729,0.9963,0.7273,0.9885,0
109,0.000007,0.000058,0.682778,0.9963,0.7265,0.9887,0
110,0.000007,0.000055,0.681747,0.9964,0.7257,0.9889,0
111,0.000006,0.000053,0.680647,0.9964,0.7248,0.9891,0
112,0.000006,0.000051,0.679485,0.9965,0.7240,0.9893,0
113,0.000006,0.000049,0.678271,0.9965,0.7231,0.9895,0
114,0.001246,0.000000,0.683911,0.9989,0.6781,0.9962,0
115,0.000114,0.000009,0.683663,0.9988,0.6980,0.9959,0
116,0.000041,0.000007,0.684038,0.9989,0.7119,0.9962,0
117,0.000006,0.000007,0.684097,0.9989,0.7201,0.9963,0
118,0.000001,0.000006,0.683868,0.9989,0.7258,0.9964,0
119,0.000686,0.000070,0.674111,0.9969,0.7617,0.9906,0
120,0.000008,0.000032,0.675010,0.9970,0.7578,0.9912,0
121,0.000012,0.000033,0.674365,0.9970,0.7528,0.9913,0
122,0.000008,0.000032,0.673566,0.9970,0.7491,0.9913,0
123,0.000006,0.000031,0.672710,0.9970,0.7466,0.9914,0
124,0.000005,0.000030,0.671797,0.9970,0.7447,0.9915,0
125,0.000005,0.000029,0.670826,0.9970,0.7433,0.9916,0
126,0.000005,0.000028,0.669796,0.9970,0.7421,0.9917,0
127,0.000005,0.000027,0.668710,0.9970,0.7411,0.9918,0
